[SPRITES]
##============ BIG  SOPHIA ===================
##right
#idle
13001	137	74	161	106	21
13002	167	74	191	106	21
13003	195	74	219	106	21
#left
#idle
13004	103	74	127	106	21
13005	73	74	97	106	21
13006	45	74	69	106	21
#top
13007	108	39	128	71	21
#idle
13008	82	39	102	71	21
13009	56	39	76	71	21
#bot
13010	133	39	153	71	21
#idle
13011	158	39	178	71	21
13012	182	39	202	71	21
#die
13013	79	105	103	134	21
13014	107	105	130	134	21
13015	134	105	158	134	21
13016	162	105	186	134	21

#======BIG SOPHIA BULLET
#black right
350001	299	15	308	22	60
#black top
350002	287	137	294	146	60
#colorful right
351001	251	29	260	36	60
351002	285	29	294	36	60
351003	303	29	312	36	60
351004	319	29	328	36	60
351005	335	29	344	36	60
351006	351	29	360	36	60	
#colorful top
351007	285	155	292	164	60
351008	285	121	292	130	60
351009	285	103	292	112	60
351010	285	87	292	96	60
351011	285	71	292	80	60
351012	285	55	292	64	60
#blow up
300101	203	155	220	172	60
300102	253	155	270	172	60
300103	303	155	320	172	60

#Eyeballs
#IDLE	#FLY	#ATTACK
1700	98	549	114	564	40
1701	115	549	130	564	40
1702	132	549	147	564	40

#Teleporters
#IDLE	#TRANSFORM	#ATTACK
1800	155	567	178	598	40
1801	128	567	151	598	40

#Cannons
#IDLE
1900	128	602	153	627	40
#ATTACK LEFT-RIGHT
1901	156	602	181	627	40
#ATTACK TOP-BOTTOM
1902	183	604	208	629	40

#ENEMY DIE
90000	169	88	188	107	1
90001	190	88	209	107	1
90002	211	88	230	107	1



#BOSS
#normal
160001	77	143	137	207	100
160002	142	142	202	207	100
160003	208	143	268	207	100
160004	274	142	334	207	100
160005	77	213	137	278	100
160006	142	212	202	278	100
160007	208	213	268	278	100
160008	274	212	334	278	100
#Injured
160009	78	281	138	345	100
160010	143	417	203	482	100
160011	210	281	270	345	100
160012	279	417	339	482	100
#Die
160013	78	695	138	759	100

#BOSS CLAW SECTION
#normal
170001	86	2	102	19	101
170002	109	2	125	19	101
#injured
170007	38	2	54	19	101
170008	13	2	29	19	101
#BOSS BIG LEFT CLAW
#normal
170003	208	20	226	52	101
170004	185	20	203	52	101
#injured
170009	256	20	274	52	101
170010	281	20	299	52	101

#BOSS BIG RIGHT CLAW
#normal
170005	88	20	106	52	101
170006	111	20	129	52	101
#injured
170011	40	20	58	52	101
170012	15	20	33	52	101



#EXPLOSION
740001	0	0	32	32	105
