# Id	FilePath			R	G	B
[TEXTURES]
40	Resource/Enemy/enemies.png	255	0	255
50	Resource/item.png	255	255	0
# id	left	top	right	bottom	texture_id
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# BRICK
1	0	1729	22	512	32
1	0	1665	22	160	32
1	416	1665	22	96	32
1	0	1601	22	96	32
1	160	1601	22	256	32
1	224	1537	22	64	32
1	0	1473	22	224	32
1	289	1473	22	224	32
1	0	1409	22	96	32
1	416	1409	22	96	32
1	96	1345	22	320	32
1	416	1281	22	96	32
1	0	1217	22	416	32
1	0	1153	22	160	32
1	352	1153	22	160	32
1	0	1089	22	96	32
1	160	1089	22	192	32
1	416	1089	22	96	32
1	0	1025	22	160	32
1	288	1025	22	64	32
1	288	1025	22	64	32
1	96	961	22	192	32
1	352	961	22	160	32
1	0	897	22	96	32
1	416	897	22	96	32
1	0	833	22	416	32
1	0	769	22	96	32
1	96	705	22	192	32
1	288	641	22	224	32
1	0	577	22	288	32
1	416	577	22	96	32
1	96	513	22	64	32
1	0	449	22	96	32
1	160	449	22	352	32
1	352	385	22	64	32
1	0	321	22	352	32
1	416	321	22	96	32
1	224	257	22	64	32
1	288	193	22	128	32
1	224	129	22	64	32
1	0	129	22	96	32
1	416	129	22	96	32
1	416	65	22	96	32
1	0	0	22	512	32

1	0	0	22	32	1760
1	480	0	22	32	1760
1	160	1505	22	32	96
1	288	1377	22	32	96
1	96	1089	22	32	64
1	160	993	22	32	96
1	160	865	22	32	96
