# Id	FilePath			R	G	B
[TEXTURES]
0	Resource/bbox.png	255	255	0
1	Resource/item.png	255	255	255
2	Resource/player_jason_bullet.png	199 	200 	50
10	Resource/sophia_die.png	176	0	248
21	Resource/sophia.png	255	0	255
30	Resource/jason.png	255	0	255
40	Resource/Enemy/enemies.png	255	0	255
50	Resource/HealthBar.png	255	255	255
60	Resource/item2.png	255	255	0
11	Resource/SceneAndSpec/Scene/area_1.jpg	255	0	255
12	Resource/SceneAndSpec/Scene/area_2.jpg	255	0	255
13	Resource/SceneAndSpec/Scene/area_3.png	255	0	255
14	Resource/SceneAndSpec/Scene/area_4.png	255	0	255
15	Resource/SceneAndSpec/Scene/area_5.png	255	0	255
16	Resource/SceneAndSpec/Scene/area_6.png	255	0	255
17	Resource/SceneAndSpec/Scene/area_7.png	255	0	255
18	Resource/SceneAndSpec/Scene/area_8.png	255	0	255
19	Resource/SceneAndSpec/Scene//area_9.jpg	255	0	255
20	Resource/SceneAndSpec/Scene/overworld.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
##============ SOPHIA JASON =================
# idle right
10001	146	5	172	23	30
10002	178	5	204	23	30
10003	211	5	237	23	30
10004	243	30	269	47	30
10005	146	30	172	47	30
10006	178	30	204	47	30
10007	211	5	237	23	30
10008	242	5	268	23	30
10009	146	5	172	23	30
10010	178	30	204	47	30
10011	210	30	236	47	30
10012	243	30	269	47	30
# idle left
11001	109	5	135	23	30
11002	77	5	103	23	30
11003	44	5	70	23	30
11004	12	30	38	47	30
11005	109	30	135	47	30
11006	77	30	103	47	30
11007	44	5	70	23	30
11008	13	5	39	23	30
11009	109	5	135	23	30
11010	77	30	103	47	30
11011	45	30	71	47	30
11012	12	30	38	47	30
# idle jump up idle right
10101	146	130	172	151	30
# idle jump up walking right
10102	178	130	204	151	30
10103	211	130	237	151	30
10104	245	130	271	151	30
# idle jump up idle left
11101	109	130	135	151	30
# idle jump up walking left
11102	77	130	103	151	30
11103	44	130	70	151	30
11104	10	130	39	151	30
# idle jump down idle right
10201	146	56	172	72	30
# idle jump down walking right
10202	177	56	203	72	30
10203	211	56	237	72	30
10204	243	56	269	72	30
# idle jump down idle left
11201	109	56	135	72	30
# idle jump down walking left
11202	78	56	104	72	30
11203	44	56	70	72	30
11204	12	56	38	72	30
#gun flip right
10301	146	247	171	280	30
10302	174	247	199	280	30
10303	207	247	232	280	30
10304	242	247	267	280	30
10305	146	283	172	317	30
10306	176	283	202	317	30
10307	207	283	233	317	30
10308	242	283	268	317	30
#gun flip left
11301	110	247	135	280	30
11302	82	247	105	280	30
11303	49	247	74	280	30
11304	14	247	39	280	30
11305	109	283	135	317	30
11306	79	283	105	317	30
11307	48	283	74	317	30
11308	13	283	39	317	30
#eject
11400	105	334	131	360	30
# die
11998	100	78	143	125	10
11999	12	85	76	132	10
#============ SMALL SOPHIA =================
#idle right
12000	136	0	146	17	21
