# Id	FilePath			R	G	B
[TEXTURES]
40	Resource/Enemy/enemies.png	255	0	255
50	Resource/item.png	255	255	0
# id	left	top	right	bottom	texture_id

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 1 = Brick
# BRICK
1	0	0	22	32	993
1	480	0	22	32	993
1	0	961	22	512	32
1	0	897	22	160	32
1	224	897	22	128	32
1	416	897	22	96	32
1	0	833	22	96	32
1	160	833	22	64	32
1	288	833	22	224	32
1	96	769	22	192	32
1	352	769	22	64	32
1	0	705	22	160	32
1	224	705	22	128	32
1	96	641	22	128	32
1	288	641	22	128	32
1	0	577	22	288	32
1	352	577	22	64	32
1	0	513	22	96	32
1	160	513	22	192	32
1	96	449	22	64	32
1	224	449	22	192	32
1	0	385	22	96	32
1	160	385	22	64	32
1	288	385	22	64	32
1	96	321	22	64	32
1	224	321	22	64	32
1	0	257	22	96	32
1	160	257	22	64	32
1	96	193	22	64	32
1	0	129	22	96	32
1	0	65	22	96	32
1	0	0	22	512	32
#back
2	30	864	13	460	141	0	1	1	275	2
#go
2	30	96	15	448	1125	0	1	1	246	999.44
